filename,size_MB,time_to_transfer
spike31.fasta,31.05,10.9949
spike39.fasta,39.06,12.9120
spike151.fasta,151.44,52.5837
spike150.fasta,150.53,56.0685
spike118.fasta,118.31,44.0990
spike114.fasta,114.27,41.5738
spike37.fasta,37.06,14.0707
spike140.fasta,140.25,58.6441
spike8.fasta,8.02,1.9084
spike10.fasta,10.02,2.6628
spike28.fasta,28.05,9.1496
spike35.fasta,35.07,12.0117
spike110.fasta,110.34,41.0814
spike60.fasta,60.10,20.9940
spike108.fasta,108.32,39.0214
spike144.fasta,144.44,55.8073
spike19.fasta,19.03,7.5742
spike76.fasta,76.13,28.5357
spike17.fasta,17.03,5.1313
spike72.fasta,72.13,28.0505
spike87.fasta,87.16,38.9820
spike180.fasta,145.97,59.8108
spike142.fasta,142.28,55.2136
spike93.fasta,93.15,39.1404
spike148.fasta,148.47,65.2185
spike26.fasta,26.05,10.6534
spike20.fasta,20.03,7.3906
spike159.fasta,159.42,59.1219
spike30.fasta,30.06,9.8310
spike141.fasta,141.24,52.8012
spike48.fasta,48.09,17.5269
spike88.fasta,88.17,31.6840
spike67.fasta,67.11,23.1398
spike68.fasta,68.12,23.7115
spike100.fasta,100.17,37.0027
spike116.fasta,116.37,44.7380
spike153.fasta,153.43,59.3376
spike27.fasta,27.04,9.2039
spike18.fasta,18.04,6.2305
spike113.fasta,113.26,40.9805
spike77.fasta,77.13,29.4239
spike21.fasta,21.04,7.7622
spike29.fasta,29.05,10.7517
spike62.fasta,62.11,21.9299
spike112.fasta,112.35,39.5722
spike178.fasta,178.59,63.6121
spike172.fasta,172.54,61.3095
spike56.fasta,56.08,19.4047
spike157.fasta,157.51,56.6286
spike80.fasta,80.15,27.9358
spike90.fasta,90.14,32.4541
spike131.fasta,131.24,52.3816
spike166.fasta,166.47,76.4307
spike170.fasta,170.54,67.6497
spike160.fasta,160.41,58.4904
spike138.fasta,138.23,53.2800
spike57.fasta,57.10,19.7674
spike22.fasta,22.04,8.0760
spike43.fasta,43.07,15.3031
spike179.fasta,179.52,64.4548
spike33.fasta,33.05,11.2625
spike78.fasta,78.15,27.4964
spike165.fasta,165.51,60.7216
spike94.fasta,94.16,32.8010
spike136.fasta,136.23,49.7504
spike5.fasta,5.01,0.8711
spike63.fasta,63.12,21.3774
spike16.fasta,16.02,5.3117
spike124.fasta,124.21,44.1652
spike84.fasta,84.15,29.4606
spike46.fasta,46.09,15.8533
spike89.fasta,89.14,30.9551
spike9.fasta,9.02,2.3381
spike147.fasta,147.44,54.7537
spike122.fasta,122.22,44.0090
spike155.fasta,155.52,62.3460
spike132.fasta,132.24,48.5138
spike47.fasta,47.10,15.8181
